Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Adams Alma,2013, North Carolina, D, H,0,404, N00035451,35679.0,,0.0,43395.0,
Aderholt Robert B,2013, Alabama, R, H,3146009,107, N00003028,39993.0,AL 4,0.447,43196.0,
Aderholt Robert B,2012, Alabama, R, H,2429009,133, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2011, Alabama, R, H,3161009,101, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2010, Alabama, R, H,3879010,79, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2009, Alabama, R, H,3927511,72, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2008, Alabama, R, H,1566012,134, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2007, Alabama, R, H,1566012,141, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2006, Alabama, R, H,781512,209, N00003028,39993.0,AL 4,0.379,43196.0,
Aderholt Robert B,2005, Alabama, R, H,781512,196, N00003028,39993.0,AL 4,0.379,43196.0,
Alexander Lamar,2013, Tennessee, R, S,22361024,12, N00009888,43303.0,,0.37,43303.0,
Alexander Lamar,2012, Tennessee, R, S,2794025,50, N00009888,43303.0,,0.365,43303.0,
Alexander Lamar,2011, Tennessee, R, S,12415524,17, N00009888,43303.0,,0.365,43303.0,
Alexander Lamar,2010, Tennessee, R, S,22538025,13, N00009888,43303.0,,0.36,43303.0,
Alexander Lamar,2009, Tennessee, R, S,27866390,11, N00009888,43303.0,,0.36,43303.0,
Alexander Lamar,2008, Tennessee, R, S,25804888,11, N00009888,43303.0,,0.355,43303.0,
Alexander Lamar,2007, Tennessee, R, S,26174168,14, N00009888,43303.0,,0.355,43303.0,
Alexander Lamar,2006, Tennessee, R, S,27804745,12, N00009888,43303.0,,0.35,43303.0,
Alexander Lamar,2005, Tennessee, R, S,27377433,14, N00009888,43303.0,MI 3,0.35,43303.0,
Amash Justin,2013, Michigan, R, H,1744014,153, N00031938,51202.0,MI 3,0.999,50056.0,
Amash Justin,2012, Michigan, R, H,1545013,173, N00031938,51202.0,MI 3,0.867,50056.0,
Amash Justin,2011, Michigan, R, H,1013512,198, N00031938,51202.0,MI 3,0.867,50056.0,
Amash Justin,2010, Michigan, R, H,568008,245, N00031938,51202.0,MI 3,0.0,50056.0,
Amash Justin,2009, Michigan, R, H,789012,210, N00031938,51202.0,MI 3,0.0,50056.0,
Amodei Mark,2013, Nevada, R, H,166002,356, N00031177,53093.0,,0.659,47371.0,
Amodei Mark,2012, Nevada, R, H,166002,361, N00031177,53093.0,,0.463,47371.0,
Amodei Mark,2011, Nevada, R, H,166002,351, N00031177,53093.0,,0.463,47371.0,
Amodei Mark,2010, Nevada, R, H,0,414, N00031177,53093.0,,0.0,47371.0,
Ayotte Kelly,2013, New Hampshire, R, S,1155007,66, N00030980,69453.0,,0.381,69453.0,
Ayotte Kelly,2012, New Hampshire, R, S,963007,66, N00030980,69453.0,,0.381,69453.0,
Ayotte Kelly,2011, New Hampshire, R, S,773506,69, N00030980,69453.0,,0.381,69453.0,
Ayotte Kelly,2010, New Hampshire, R, S,863506,74, N00030980,69453.0,,0.0,69453.0,
Ayotte Kelly,2009, New Hampshire, R, S,436005,82, N00030980,69453.0,,0.0,69453.0,
Bachmann Michele,2013, Minnesota, R, H,1328507,-1, N00027493,,,0.831,61162.0,
Bachmann Michele,2012, Minnesota, R, H,1186007,187, N00027493,,,0.595,61162.0,
Bachmann Michele,2011, Minnesota, R, H,1499509,172, N00027493,,,0.595,61162.0,
Bachmann Michele,2010, Minnesota, R, H,1783508,141, N00027493,,,0.595,61162.0,
Bachmann Michele,2009, Minnesota, R, H,908508,189, N00027493,,,0.595,61162.0,
Bachmann Michele,2008, Minnesota, R, H,418007,264, N00027493,,,0.595,61162.0,
Bachmann Michele,2007, Minnesota, R, H,272505,315, N00027493,,,0.595,61162.0,
Bachmann Michele,2006, Minnesota, R, H,1059010,-1, N00027493,,,0.0,61162.0,
Bachus Spencer,2013, Alabama, R, H,652008,-1, N00008091,57367.0,,0.565,43196.0,
Bachus Spencer,2012, Alabama, R, H,631507,251, N00008091,57367.0,,0.403,43196.0,
Bachus Spencer,2011, Alabama, R, H,745507,233, N00008091,57367.0,,0.403,43196.0,
