Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome,YearlyChange,WealthGrowthIndex
Adams Alma,2013, North Carolina, D, H,0,404, N00035451,35679.0,,0.0,43395.0,,0.0,-0.11109527433628336
Aderholt Robert B,2005, Alabama, R, H,781512,196, N00003028,39993.0,AL 4,0.379,43196.0,,0.0,
Aderholt Robert B,2006, Alabama, R, H,781512,209, N00003028,39993.0,AL 4,0.379,43196.0,,0.0,-0.00019187074270624583
Aderholt Robert B,2007, Alabama, R, H,1566012,141, N00003028,39993.0,AL 4,0.379,43196.0,,784500.0,0.07484177119956718
Aderholt Robert B,2008, Alabama, R, H,1566012,134, N00003028,39993.0,AL 4,0.379,43196.0,,0.0,0.1792256896170244
Aderholt Robert B,2009, Alabama, R, H,3927511,72, N00003028,39993.0,AL 4,0.379,43196.0,,2361499.0,0.3734595883518677
Aderholt Robert B,2010, Alabama, R, H,3879010,79, N00003028,39993.0,AL 4,0.379,43196.0,,-48501.0,-0.08777470622209607
Aderholt Robert B,2011, Alabama, R, H,3161009,101, N00003028,39993.0,AL 4,0.379,43196.0,,-718001.0,-0.1512825739769296
Aderholt Robert B,2012, Alabama, R, H,2429009,133, N00003028,39993.0,AL 4,0.379,43196.0,,-732000.0,-0.01468171218457112
Aderholt Robert B,2013, Alabama, R, H,3146009,107, N00003028,39993.0,AL 4,0.447,43196.0,,717000.0,0.026338517641571246
Alexander Lamar,2005, Tennessee, R, S,27377433,14, N00009888,43303.0,MI 3,0.35,43303.0,,0.0,
Alexander Lamar,2006, Tennessee, R, S,27804745,12, N00009888,43303.0,,0.35,43303.0,,427312.0,0.09348710169725549
Alexander Lamar,2007, Tennessee, R, S,26174168,14, N00009888,43303.0,,0.355,43303.0,,-1630577.0,-0.5721181378441593
Alexander Lamar,2008, Tennessee, R, S,25804888,11, N00009888,43303.0,,0.355,43303.0,,-369280.0,0.12034541390228598
Alexander Lamar,2009, Tennessee, R, S,27866390,11, N00009888,43303.0,,0.36,43303.0,,2061502.0,0.31533261921036015
Alexander Lamar,2010, Tennessee, R, S,22538025,13, N00009888,43303.0,,0.36,43303.0,,-5328365.0,-0.4600857324476183
Alexander Lamar,2011, Tennessee, R, S,12415524,17, N00009888,43303.0,,0.365,43303.0,,-10122501.0,-1.3942202411042326
Alexander Lamar,2012, Tennessee, R, S,2794025,50, N00009888,43303.0,,0.365,43303.0,,-9621499.0,-0.5728722775520578
Alexander Lamar,2013, Tennessee, R, S,22361024,12, N00009888,43303.0,,0.37,43303.0,,19566999.0,3.639486134585459
Amash Justin,2009, Michigan, R, H,789012,210, N00031938,51202.0,MI 3,0.0,50056.0,,0.0,-0.08410091892220811
Amash Justin,2010, Michigan, R, H,568008,245, N00031938,51202.0,MI 3,0.0,50056.0,,-221004.0,-0.09993880153913098
Amash Justin,2011, Michigan, R, H,1013512,198, N00031938,51202.0,MI 3,0.867,50056.0,,445504.0,0.002491065279910499
Amash Justin,2012, Michigan, R, H,1545013,173, N00031938,51202.0,MI 3,0.867,50056.0,,531501.0,0.06465620523151554
Amash Justin,2013, Michigan, R, H,1744014,153, N00031938,51202.0,MI 3,0.999,50056.0,,199001.0,-0.07295097581831259
Amodei Mark,2010, Nevada, R, H,0,414, N00031177,53093.0,,0.0,47371.0,,0.0,-0.08435464519723557
Amodei Mark,2011, Nevada, R, H,166002,351, N00031177,53093.0,,0.463,47371.0,,166002.0,-0.034449076549789695
Amodei Mark,2012, Nevada, R, H,166002,361, N00031177,53093.0,,0.463,47371.0,,0.0,0.031282126030495926
Amodei Mark,2013, Nevada, R, H,166002,356, N00031177,53093.0,,0.659,47371.0,,0.0,-0.11109527433628336
Ayotte Kelly,2009, New Hampshire, R, S,436005,82, N00030980,69453.0,,0.0,69453.0,,0.0,-0.08410091892220811
Ayotte Kelly,2010, New Hampshire, R, S,863506,74, N00030980,69453.0,,0.0,69453.0,,427501.0,-0.05420929750978813
Ayotte Kelly,2011, New Hampshire, R, S,773506,69, N00030980,69453.0,,0.381,69453.0,,-90000.0,-0.06828336105826158
Ayotte Kelly,2012, New Hampshire, R, S,963007,66, N00030980,69453.0,,0.381,69453.0,,189501.0,0.043181297213000604
Ayotte Kelly,2013, New Hampshire, R, S,1155007,66, N00030980,69453.0,,0.381,69453.0,,192000.0,-0.07429291999911726
Bachmann Michele,2006, Minnesota, R, H,1059010,-1, N00027493,,,0.0,61162.0,,0.0,-0.00019187074270624583
Bachmann Michele,2007, Minnesota, R, H,272505,315, N00027493,,,0.595,61162.0,,-786505.0,-0.3460049562162624
Bachmann Michele,2008, Minnesota, R, H,418007,264, N00027493,,,0.595,61162.0,,145502.0,0.20242542390278553
Bachmann Michele,2009, Minnesota, R, H,908508,189, N00027493,,,0.595,61162.0,,490501.0,0.010937819768107437
Bachmann Michele,2010, Minnesota, R, H,1783508,141, N00027493,,,0.595,61162.0,,875000.0,-0.02265378548809686
Bachmann Michele,2011, Minnesota, R, H,1499509,172, N00027493,,,0.595,61162.0,,-283999.0,-0.0939230723119199
Bachmann Michele,2012, Minnesota, R, H,1186007,187, N00027493,,,0.595,61162.0,,-313502.0,0.011596668095933155
Bachmann Michele,2013, Minnesota, R, H,1328507,-1, N00027493,,,0.831,61162.0,,142500.0,-0.0837810269766679
Bachus Spencer,2005, Alabama, R, H,1251024,159, N00008091,57367.0,,0.403,43196.0,,0.0,
Bachus Spencer,2006, Alabama, R, H,1064008,177, N00008091,57367.0,,0.403,43196.0,,-187016.0,-0.04119110949526149
Bachus Spencer,2007, Alabama, R, H,1139009,166, N00008091,57367.0,,0.403,43196.0,,75001.0,-0.11522148910501727
Bachus Spencer,2008, Alabama, R, H,1007506,174, N00008091,57367.0,,0.403,43196.0,,-131503.0,0.1582580420398059
Bachus Spencer,2009, Alabama, R, H,760005,215, N00008091,57367.0,,0.403,43196.0,,-247501.0,-0.13205634177474415
Bachus Spencer,2010, Alabama, R, H,823509,211, N00008091,57367.0,,0.403,43196.0,,63504.0,-0.07987664360298512
Bachus Spencer,2011, Alabama, R, H,745507,233, N00008091,57367.0,,0.403,43196.0,,-78002.0,-0.06669765569059787
Bachus Spencer,2012, Alabama, R, H,631507,251, N00008091,57367.0,,0.403,43196.0,,-114000.0,0.024123823357657618
Bachus Spencer,2013, Alabama, R, H,652008,-1, N00008091,57367.0,,0.565,43196.0,,20501.0,-0.10716566461614667
Baldwin Tammy,2005, Wisconsin, D, S,936006,179, N00004367,54342.0,,0.0,54342.0,,0.0,
Baldwin Tammy,2006, Wisconsin, D, S,1160506,172, N00004367,54342.0,,0.0,54342.0,,224500.0,0.04902492942384984
Baldwin Tammy,2007, Wisconsin, D, S,1053007,172, N00004367,54342.0,,0.0,54342.0,,-107499.0,-0.1641102754254866
Baldwin Tammy,2008, Wisconsin, D, S,1655007,127, N00004367,54342.0,,0.0,54342.0,,602000.0,0.2752122742689756
Baldwin Tammy,2009, Wisconsin, D, S,1271007,162, N00004367,54342.0,,0.0,54342.0,,-384000.0,-0.1585041834559831
Baldwin Tammy,2010, Wisconsin, D, S,564502,246, N00004367,54342.0,,0.0,54342.0,,-706505.0,-0.13417403478444134
Baldwin Tammy,2011, Wisconsin, D, S,758502,70, N00004367,54342.0,,0.0,54342.0,,194000.0,-0.030748744920864157
Baldwin Tammy,2012, Wisconsin, D, S,798502,72, N00004367,54342.0,,0.0,54342.0,,40000.0,0.033793811178860246
Baldwin Tammy,2013, Wisconsin, D, S,790502,72, N00004367,54342.0,,-0.54,54342.0,,-8000.0,-0.1126287057669986
Barber Ron,2011, Arizona, D, H,887981,214, N00033981,,,-0.303,49562.0,,0.0,-0.0563885883386638
Barber Ron,2012, Arizona, D, H,1143982,191, N00033981,,,-0.303,49562.0,,256001.0,0.04735697377215629
Barber Ron,2013, Arizona, D, H,1065039,-1, N00033981,,,-0.073,49562.0,,-78943.0,-0.12622698401565263
Barletta Lou,2009, Pennsylvania, R, H,1255038,164, N00025495,,,0.0,52768.0,,0.0,-0.08410091892220811
Barletta Lou,2010, Pennsylvania, R, H,1391552,159, N00025495,,,0.0,52768.0,,136514.0,-0.07472832386885458
Barletta Lou,2011, Pennsylvania, R, H,1582049,168, N00025495,,,0.266,52768.0,,190497.0,-0.031211715907939166
Barletta Lou,2012, Pennsylvania, R, H,2083545,146, N00025495,,,0.266,52768.0,,501496.0,0.06277212740959875
Barletta Lou,2013, Pennsylvania, R, H,2016549,140, N00025495,,,0.402,52768.0,,-66996.0,-0.12393699585280823
Barr Andy,2011, Kentucky, R, H,418015,285, N00031233,,,0.0,41707.0,,0.0,-0.0563885883386638
Barr Andy,2012, Kentucky, R, H,346012,308, N00031233,,,0.0,41707.0,,-72003.0,0.026760904387054026
Barr Andy,2013, Kentucky, R, H,328009,308, N00031233,,,0.734,41707.0,,-18003.0,-0.1145460700921792
Barrasso John A,2007, Wyoming, R, S,6486006,26, N00006236,58752.0,,0.682,56835.0,,0.0,-0.13531303903828587
Barrasso John A,2008, Wyoming, R, S,6482008,25, N00006236,58752.0,,0.682,56835.0,,-3998.0,0.17858822389370463
Barrasso John A,2009, Wyoming, R, S,6054509,29, N00006236,58752.0,,0.682,56835.0,,-427499.0,-0.1669324845079484
Barrasso John A,2010, Wyoming, R, S,5730008,34, N00006236,58752.0,,0.682,56835.0,,-324501.0,-0.10723692025606439
Barrasso John A,2011, Wyoming, R, S,6137510,29, N00006236,58752.0,,0.682,56835.0,,407502.0,-0.002531436418868997
Barrasso John A,2012, Wyoming, R, S,5673508,25, N00006236,58752.0,,0.682,56835.0,,-464002.0,0.002146452725212403
Barrasso John A,2013, Wyoming, R, S,5647008,29, N00006236,58752.0,,0.682,56835.0,,-26500.0,-0.11617476595052763
Barrow John,2005, Georgia, D, H,5508004,57, N00026080,,,-0.127,47958.0,,0.0,
Barrow John,2006, Georgia, D, H,5983505,57, N00026080,,,-0.127,47958.0,,475501.0,0.1040515042951449
Barrow John,2007, Georgia, D, H,4675003,60, N00026080,,,-0.127,47958.0,,-1308502.0,-0.4858394756295557
Barrow John,2008, Georgia, D, H,3825002,75, N00026080,,,-0.127,47958.0,,-850001.0,0.043696299350009196
Barrow John,2009, Georgia, D, H,3758002,77, N00026080,,,-0.127,47958.0,,-67000.0,-0.09708273851534072
Barrow John,2010, Georgia, D, H,3758002,82, N00026080,,,-0.127,47958.0,,0.0,-0.08435464519723557
Barrow John,2011, Georgia, D, H,3783002,85, N00026080,,,-0.127,47958.0,,25000.0,-0.0530844848054422
Barrow John,2012, Georgia, D, H,3758502,99, N00026080,,,-0.127,47958.0,,-24500.0,0.029743718877122783
Barrow John,2013, Georgia, D, H,3790502,-1, N00026080,,,-0.158,47958.0,,32000.0,-0.10496154861342234
Barton Joe,2005, Texas, R, H,52003,390, N00005656,,,0.54,52169.0,,0.0,
